First Name,Last Name,Title,Country,Company,Industry
,,director of compliance,"Huntsville, Alabama",,
,,director of compliance,"Montgomery, Alabama",,
,,director of compliance,"Birmingham, Alabama",,
,,director of compliance,"Mobile, Alabama",,
,,director of compliance,"Tuscaloosa, Alabama",,
,,director of compliance,"Hoover, Alabama",,
,,director of compliance,"Anchorage municipality, Alaska",,
,,director of compliance,"Fairbanks, Alaska",,
,,director of compliance,"Juneau and borough, Alaska",,
,,director of compliance,"Wasilla, Alaska",,
,,director of compliance,"Sitka and borough, Alaska",,
,,director of compliance,"Ketchikan, Alaska",,
,,director of compliance,"Phoenix, Arizona",,
,,director of compliance,"Tucson, Arizona",,
,,director of compliance,"Mesa, Arizona",,
,,director of compliance,"Chandler, Arizona",,
,,director of compliance,"Gilbert town, Arizona",,
,,director of compliance,"Glendale, Arizona",,
,,director of compliance,"Little Rock, Arkansas",,
,,director of compliance,"Fayetteville, Arkansas",,
,,director of compliance,"Fort Smith, Arkansas",,
,,director of compliance,"Springdale, Arkansas",,
,,director of compliance,"Jonesboro, Arkansas",,
,,director of compliance,"Rogers, Arkansas",,
,,director of compliance,"Los Angeles, California",,
,,director of compliance,"San Diego, California",,
,,director of compliance,"San Jose, California",,
,,director of compliance,"San Francisco, California",,
,,director of compliance,"Fresno, California",,
,,director of compliance,"Sacramento, California",,
,,director of compliance,"Denver, Colorado",,
,,director of compliance,"Colorado Springs, Colorado",,
,,director of compliance,"Aurora, Colorado",,
,,director of compliance,"Fort Collins, Colorado",,
,,director of compliance,"Lakewood, Colorado",,
,,director of compliance,"Thornton, Colorado",,
,,director of compliance,"Bridgeport, Connecticut",,
,,director of compliance,"New Haven, Connecticut",,
,,director of compliance,"Stamford, Connecticut",,
,,director of compliance,"Hartford, Connecticut",,
,,director of compliance,"Waterbury, Connecticut",,
,,director of compliance,"Norwalk, Connecticut",,
,,director of compliance,"Wilmington, Delaware",,
,,director of compliance,"Dover, Delaware",,
,,director of compliance,"Newark, Delaware",,
,,director of compliance,"Middletown town, Delaware",,
,,director of compliance,"Smyrna town, Delaware",,
,,director of compliance,"Milford, Delaware",,
,,director of compliance,"Washington, District of Columbia",,
,,director of compliance,"Jacksonville, Florida",,
,,director of compliance,"Miami, Florida",,
,,director of compliance,"Tampa, Florida",,
,,director of compliance,"Orlando, Florida",,
,,director of compliance,"St. Petersburg, Florida",,
,,director of compliance,"Port St. Lucie, Florida",,
,,director of compliance,"Atlanta, Georgia",,
,,director of compliance,"Columbus, Georgia",,
,,director of compliance,"Augusta-Richmond County consolidated government (balance), Georgia",,
,,director of compliance,"Macon-Bibb County, Georgia",,
,,director of compliance,"Savannah, Georgia",,
,,director of compliance,"Athens-Clarke County unified government (balance), Georgia",,
,,director of compliance,"Urban Honolulu CDP, Hawaii",,
,,director of compliance,"Boise City, Idaho",,
,,director of compliance,"Meridian, Idaho",,
,,director of compliance,"Nampa, Idaho",,
,,director of compliance,"Idaho Falls, Idaho",,
,,director of compliance,"Caldwell, Idaho",,
,,director of compliance,"Pocatello, Idaho",,
,,director of compliance,"Chicago, Illinois",,
,,director of compliance,"Aurora, Illinois",,
,,director of compliance,"Joliet, Illinois",,
